year,agency_id,alloc_id,account,pa_code,pa_name
2016,12,   ,122,3,Trade negotiations and biotechnology resources
2016,12,   ,122,4,Departmental Administration
2016,12,   ,122,5,Office of Communications
2016,12,   ,122,6,Office of Advocacy and Outreach
2016,12,   ,122,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,122,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,122,9,Biobased Markets Program Sec 9001
2016,12,   ,122,802,Office of the Secretary (Reimbursable)
2016,12,   ,124,1,Office of the Secretary
2016,12,   ,124,2,Under/Assistant Secretaries
2016,12,   ,124,3,Trade negotiations and biotechnology resources
2016,12,   ,124,4,Departmental Administration
2016,12,   ,124,5,Office of Communications
2016,12,   ,124,6,Office of Advocacy and Outreach
2016,12,   ,124,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,124,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,124,9,Biobased Markets Program Sec 9001
2016,12,   ,124,802,Office of the Secretary (Reimbursable)
2016,12,   ,125,1,Office of the Secretary
2016,12,   ,125,2,Under/Assistant Secretaries
2016,12,   ,125,3,Trade negotiations and biotechnology resources
2016,12,   ,125,4,Departmental Administration
2016,12,   ,125,5,Office of Communications
2016,12,   ,125,6,Office of Advocacy and Outreach
2016,12,   ,125,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,125,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,125,9,Biobased Markets Program Sec 9001
2016,12,   ,125,802,Office of the Secretary (Reimbursable)
2016,12,   ,126,1,Office of the Secretary
2016,12,   ,126,2,Under/Assistant Secretaries
2016,12,   ,126,3,Trade negotiations and biotechnology resources
2016,12,   ,126,4,Departmental Administration
2016,12,   ,126,5,Office of Communications
2016,12,   ,126,6,Office of Advocacy and Outreach
2016,12,   ,126,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,126,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,126,9,Biobased Markets Program Sec 9001
2016,12,   ,126,802,Office of the Secretary (Reimbursable)
2016,12,   ,127,1,Office of the Secretary
2016,12,   ,127,2,Under/Assistant Secretaries
2016,12,   ,127,3,Trade negotiations and biotechnology resources
2016,12,   ,127,4,Departmental Administration
2016,12,   ,127,5,Office of Communications
2016,12,   ,127,6,Office of Advocacy and Outreach
2016,12,   ,127,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,127,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,127,9,Biobased Markets Program Sec 9001
2016,12,   ,127,802,Office of the Secretary (Reimbursable)
2016,12,   ,128,1,Office of the Secretary
2016,12,   ,128,2,Under/Assistant Secretaries
2016,12,   ,128,3,Trade negotiations and biotechnology resources
2016,12,   ,128,4,Departmental Administration
2016,12,   ,128,5,Office of Communications
2016,12,   ,128,6,Office of Advocacy and Outreach
2016,12,   ,128,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,128,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,128,9,Biobased Markets Program Sec 9001
2016,12,   ,128,802,Office of the Secretary (Reimbursable)
2016,12,   ,129,1,Office of the Secretary
2016,12,   ,129,2,Under/Assistant Secretaries
2016,12,   ,129,3,Trade negotiations and biotechnology resources
2016,12,   ,129,4,Departmental Administration
2016,12,   ,129,5,Office of Communications
2016,12,   ,129,6,Office of Advocacy and Outreach
2016,12,   ,129,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,129,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,129,9,Biobased Markets Program Sec 9001
2016,12,   ,129,802,Office of the Secretary (Reimbursable)
2016,12,   ,130,1,Office of the Secretary
2016,12,   ,130,2,Under/Assistant Secretaries
2016,12,   ,130,3,Trade negotiations and biotechnology resources
2016,12,   ,130,4,Departmental Administration
2016,12,   ,130,5,Office of Communications
2016,12,   ,130,6,Office of Advocacy and Outreach
2016,12,   ,130,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,130,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,130,9,Biobased Markets Program Sec 9001
2016,12,   ,130,802,Office of the Secretary (Reimbursable)
2016,12,   ,131,1,Office of the Secretary
2016,12,   ,131,2,Under/Assistant Secretaries
2016,12,   ,131,3,Trade negotiations and biotechnology resources
2016,12,   ,131,4,Departmental Administration
2016,12,   ,131,5,Office of Communications
2016,12,   ,131,6,Office of Advocacy and Outreach
2016,12,   ,131,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,131,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,131,9,Biobased Markets Program Sec 9001
2016,12,   ,131,802,Office of the Secretary (Reimbursable)
2016,12,   ,132,1,Office of the Secretary
2016,12,   ,132,2,Under/Assistant Secretaries
2016,12,   ,132,3,Trade negotiations and biotechnology resources
2016,12,   ,132,4,Departmental Administration
2016,12,   ,132,5,Office of Communications
2016,12,   ,132,6,Office of Advocacy and Outreach
2016,12,   ,132,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,132,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,132,9,Biobased Markets Program Sec 9001
2016,12,   ,132,802,Office of the Secretary (Reimbursable)
2016,12,   ,150,1,Office of the Secretary
2016,12,   ,150,2,Under/Assistant Secretaries
2016,12,   ,150,3,Trade negotiations and biotechnology resources
2016,12,   ,150,4,Departmental Administration
2016,12,   ,150,5,Office of Communications
2016,12,   ,150,6,Office of Advocacy and Outreach
2016,12,   ,150,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,150,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,150,9,Biobased Markets Program Sec 9001
2016,12,   ,150,802,Office of the Secretary (Reimbursable)
2016,12,   ,601,1,Office of the Secretary
2016,12,   ,601,2,Under/Assistant Secretaries
2016,12,   ,601,3,Trade negotiations and biotechnology resources
2016,12,   ,601,4,Departmental Administration
2016,12,   ,601,5,Office of Communications
2016,12,   ,601,6,Office of Advocacy and Outreach
2016,12,   ,601,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,601,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,601,9,Biobased Markets Program Sec 9001
2016,12,   ,601,802,Office of the Secretary (Reimbursable)
2016,12,   ,3701,1,Office of the Secretary
2016,12,   ,3701,2,Under/Assistant Secretaries
2016,12,   ,3701,3,Trade negotiations and biotechnology resources
2016,12,   ,3701,4,Departmental Administration
2016,12,   ,3701,5,Office of Communications
2016,12,   ,3701,6,Office of Advocacy and Outreach
2016,12,   ,3701,7,Office of Homeland Security and Emergency Coordination
2016,12,   ,3701,8,Outreach & Assistance for Socially Disadvantaged Farmers & Ranchers & Veteran Farmers & Ranchers
2016,12,   ,3701,9,Biobased Markets Program Sec 9001
2016,12,   ,3701,802,Office of the Secretary (Reimbursable)
2016,12,   ,8203,1,Gifts and bequests
2016,12,   ,123,1,Office of the Chief Economist
2016,12,   ,123,2,Biodiesel Fuel Education Program
2016,12,   ,123,801,Office of the Chief Economist (Reimbursable)
2016,12,   ,706,1,National Appeals Division
2016,12,   ,503,5,Office of Budget and Program Analysis (Direct)
2016,12,   ,4609,801,Administration
2016,12,   ,4609,802,Communications
2016,12,   ,4609,803,Finance and management
2016,12,   ,4609,804,Information technology
2016,12,   ,4609,805,Executive secretariat
2016,12,   ,4609,815,Capital Funding Availability
2016,12,   ,4609,816,Proceeds from Purchase Card Rebate Programs
2016,12,   ,4609,817,Proceeds from Transfers of Discretionary Unobligated Balances
2016,12,   ,13,1,Office of the Chief Information Officer
2016,12,   ,13,2,Homeland Security
2016,12,   ,13,801,Office of the Chief Information Officer (Reimbursable)
2016,12,   ,14,1,Office of the Chief Financial Officer (Direct)
2016,12,   ,3800,1,Office of Civil Rights (Direct)
2016,12,   ,3800,801,Office of Civil Rights (Reimbursable)
2016,12,   ,500,1,Hazardous materials management
2016,12,   ,117,1,Rental payments to GSA: Non-recurring repairs
2016,12,   ,117,2,Building operations and maintenance
2016,12,   ,117,3,Homeland Security Database
2016,12,   ,117,4,DHS Security Payments
2016,12,   ,117,5,Life Safety Projects
2016,12,   ,117,6,South Building Renovations
2016,12,   ,117,802,Agriculture Buildings and Facilities and Rental Payments (Reimbursable)
2016,12,   ,900,1,Office of the Inspector General
2016,12,   ,900,801,Office of Inspector General (Reimbursable)
2016,12,   ,5410,1,Office of the Inspector General
2016,12,   ,5410,801,Office of Inspector General (Reimbursable)
2016,12,   ,5411,1,Office of the Inspector General
2016,12,   ,5411,801,Office of Inspector General (Reimbursable)
2016,12,   ,136,1,Office of the General Counsel
2016,12,   ,136,801,Office of the General Counsel (Reimbursable)
2016,12,   ,2300,1,Office of the General Counsel
2016,12,   ,2300,801,Office of the General Counsel (Reimbursable)
2016,12,   ,1701,1,Economic Research Service
2016,12,   ,1701,801,Economic Research Service (Reimbursable)
2016,12,   ,8227,1,Economic Research Service
2016,12,   ,8227,801,Economic Research Service (Reimbursable)
2016,12,   ,1801,1,Agricultural estimates
2016,12,   ,1801,2,Statistical research and service
2016,12,   ,1801,3,Census of agriculture
2016,12,   ,1801,801,National Agricultural Statistics Service (Reimbursable)
2016,12,   ,8218,1,Agricultural estimates
2016,12,   ,8218,2,Statistical research and service
2016,12,   ,8218,3,Census of agriculture
2016,12,   ,8218,801,National Agricultural Statistics Service (Reimbursable)
2016,12,   ,1400,1,Product quality/value added
2016,12,   ,1400,2,Livestock production
2016,12,   ,1400,3,Crop production
2016,12,   ,1400,4,Food safety
2016,12,   ,1400,5,Livestock protection
2016,12,   ,1400,6,Crop protection
2016,12,   ,1400,7,Human nutrition research
2016,12,   ,1400,8,Environmental stewardship
2016,12,   ,1400,9,National Agricultural Library
2016,12,   ,1400,10,Repair and maintenance of facilities
2016,12,   ,1400,11,Decentralized GSA and Security Payments
2016,12,   ,1400,12,Homeland security
2016,12,   ,1400,14,Miscellaneous Fees/Supplementals
2016,12,   ,1400,881,Salaries and Expenses (Reimbursable)
2016,12,   ,5279,1,Product quality/value added
2016,12,   ,5279,2,Livestock production
2016,12,   ,5279,3,Crop production
2016,12,   ,5279,4,Food safety
2016,12,   ,5279,5,Livestock protection
2016,12,   ,5279,6,Crop protection
2016,12,   ,5279,7,Human nutrition research
2016,12,   ,5279,8,Environmental stewardship
2016,12,   ,5279,9,National Agricultural Library
2016,12,   ,5279,10,Repair and maintenance of facilities
2016,12,   ,5279,11,Decentralized GSA and Security Payments
2016,12,   ,5279,12,Homeland security
2016,12,   ,5279,14,Miscellaneous Fees/Supplementals
2016,12,   ,5279,881,Salaries and Expenses (Reimbursable)
2016,12,   ,1401,1,Building and facilities projects
2016,12,   ,8214,1,Miscellaneous contributed funds
2016,12,   ,1502,20,Water quality
2016,12,   ,1502,50,Crop Protection/Pest Management
2016,12,   ,1502,70,Methyl bromide transition program
2016,12,   ,1502,71,Homeland Security
2016,12,   ,1502,85,Emergency Citrus Research and Extension Program
2016,12,   ,1502,86,Specialty Crop Research Initiative
2016,12,   ,1502,87,Regional Rural development centers
2016,12,   ,1502,88,Organic transition
2016,12,   ,1502,89,Organic Research and Extension Initiative
2016,12,   ,1003,1,Biomass research and development
2016,12,   ,1500,1,Payments under the Hatch Act
2016,12,   ,1500,2,Cooperative forestry research
2016,12,   ,1500,3,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University
2016,12,   ,1500,4,Special research grants
2016,12,   ,1500,5,Agriculture Food and Research Initiative
2016,12,   ,1500,6,Animal health and disease research
2016,12,   ,1500,7,Federal Administration
2016,12,   ,1500,8,Higher education
2016,12,   ,1500,9,Native American Institutions Endowment Fund
2016,12,   ,1500,12,Veterinary Medical Services Act
2016,12,   ,1500,15,Sun Grant Program
2016,12,   ,1500,16,Farm Business Management and Benchmarking
2016,12,   ,1500,21,Alfalfa Forage and Research Program
2016,12,   ,1500,22,Capacity Building for Non-Land Grant Colleges of Agriculture
2016,12,   ,1500,801,Research and Education Activities (Reimbursable)
2016,12,   ,5205,1,Payments under the Hatch Act
2016,12,   ,5205,2,Cooperative forestry research
2016,12,   ,5205,3,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University
2016,12,   ,5205,4,Special research grants
2016,12,   ,5205,5,Agriculture Food and Research Initiative
2016,12,   ,5205,6,Animal health and disease research
2016,12,   ,5205,7,Federal Administration
2016,12,   ,5205,8,Higher education
2016,12,   ,5205,9,Native American Institutions Endowment Fund
2016,12,   ,5205,12,Veterinary Medical Services Act
2016,12,   ,5205,15,Sun Grant Program
2016,12,   ,5205,16,Farm Business Management and Benchmarking
2016,12,   ,5205,21,Alfalfa Forage and Research Program
2016,12,   ,5205,22,Capacity Building for Non-Land Grant Colleges of Agriculture
2016,12,   ,5205,801,Research and Education Activities (Reimbursable)
2016,12,   ,502,1,"Smith-Lever Act, 3(b) and 3(c)"
2016,12,   ,502,2,Youth at risk
2016,12,   ,502,4,Expanded food and nutrition education program (EFNEP)
2016,12,   ,502,6,Farm Safety
2016,12,   ,502,9,Federally Recognized Tribes Extension Program
2016,12,   ,502,13,Payments to 1890 colleges and Tuskegee Univ. and West Virginia State University
2016,12,   ,502,15,Renewable resources extension act
2016,12,   ,502,16,Federal administration
2016,12,   ,502,19,1890 facilities (section 1447)
2016,12,   ,502,22,1994 institutions activities
2016,12,   ,502,24,Rural health and safety education
2016,12,   ,502,26,Risk management education
2016,12,   ,502,27,New technologies for ag. extension
2016,12,   ,502,30,Food Animal Residue Avoidance Database
2016,12,   ,502,31,Beginning Farmers and Ranchers Program
2016,12,   ,502,32,Food Safety Outreach Program
2016,12,   ,502,33,Food Insecurity Nutrition Incentive Program
2016,12,   ,502,801,Extension Activities (Reimbursable)
2016,12,   ,1600,1,Animal Health
2016,12,   ,1600,2,Plant Health
2016,12,   ,1600,3,Wildlife Services
2016,12,   ,1600,4,Regulatory Management
2016,12,   ,1600,5,Emergency Management
2016,12,   ,1600,6,Safe Trade and International Technical Assistance
2016,12,   ,1600,7,Animal Welfare
2016,12,   ,1600,8,Agency-Wide Programs
2016,12,   ,1600,9,Citrus Greening - GP 748
2016,12,   ,1600,10,Emergency Program Funding
2016,12,   ,1600,11,Agricultural Quarantine Inspection User Fees
2016,12,   ,1600,12,H1N1 Transfer From HHS
2016,12,   ,1600,14,"Farm Bill, Section 10007"
2016,12,   ,1600,801,Salaries and Expenses (Reimbursable)
2016,12,   ,5161,1,Animal Health
2016,12,   ,5161,2,Plant Health
2016,12,   ,5161,3,Wildlife Services
2016,12,   ,5161,4,Regulatory Management
2016,12,   ,5161,5,Emergency Management
2016,12,   ,5161,6,Safe Trade and International Technical Assistance
2016,12,   ,5161,7,Animal Welfare
2016,12,   ,5161,8,Agency-Wide Programs
2016,12,   ,5161,9,Citrus Greening - GP 748
2016,12,   ,5161,10,Emergency Program Funding
2016,12,   ,5161,11,Agricultural Quarantine Inspection User Fees
2016,12,   ,5161,12,H1N1 Transfer From HHS
2016,12,   ,5161,14,"Farm Bill, Section 10007"
2016,12,   ,5161,801,Salaries and Expenses (Reimbursable)
2016,12,   ,1601,1,Buildings and facilities
2016,12,   ,8226,1,Miscellaneous trust funds
2016,12,   ,8558,1,Miscellaneous trust funds
2016,12,   ,3700,1,Salaries and expenses
2016,12,   ,3700,801,Salaries and Expenses (Reimbursable)
2016,12,   ,8137,1,"Expenses and refunds, inspection and grading of farm products"
2016,12,   ,2400,1,Packers and stockyards program
2016,12,   ,2400,2,Grain regulatory program
2016,12,   ,4050,801,Limitation on inspection and weighing services
2016,12,   ,2500,1,Market news service
2016,12,   ,2500,2,Inspection and standardization
2016,12,   ,2500,3,Market protection and promotion
2016,12,   ,2500,4,Transportation and market development
2016,12,   ,2500,801,Marketing Services (Reimbursable)
2016,12,   ,2501,1,Payments to states and possessions
2016,12,   ,2501,2,Specialty crop block grants
2016,12,   ,5070,1,Perishable Agricultural Commodities Act
2016,12,   ,5209,1,Child nutrition program purchases
2016,12,   ,5209,2,Emergency surplus removal
2016,12,   ,5209,4,State option contract
2016,12,   ,5209,5,Removal of defective commodities
2016,12,   ,5209,6,Disaster Relief
2016,12,   ,5209,7,2008 Farm Bill Specialty Crop Purchases
2016,12,   ,5209,8,Small Business Support
2016,12,   ,5209,101,Administrative expenses
2016,12,   ,5209,811,"Funds for Strengthening Markets, Income, and Supply (section 32) (Reimbursable)"
2016,12,   ,215,1,Dairy products
2016,12,   ,215,2,Fruits and vegetables
2016,12,   ,215,3,Meat grading
2016,12,   ,215,4,Poultry products
2016,12,   ,215,5,Miscellaneous agricultural commodities
2016,12,   ,8015,1,Dairy products
2016,12,   ,8015,2,Fruits and vegetables
2016,12,   ,8015,3,Meat grading
2016,12,   ,8015,4,Poultry products
2016,12,   ,8015,5,Miscellaneous agricultural commodities
2016,12,   ,8100,1,Dairy products
2016,12,   ,8100,2,Fruits and vegetables
2016,12,   ,8100,3,Meat grading
2016,12,   ,8100,4,Poultry products
2016,12,   ,8100,5,Miscellaneous agricultural commodities
2016,12,   ,8412,801,Administration
2016,12,   ,8412,802,Marketing service
2016,12,   ,2707,1,Salaries and Expenses
2016,12,   ,4085,1,Indemnities
2016,12,   ,4085,2,Delivery Expenses
2016,12,   ,4085,3,Underwriting Gains
2016,12,   ,4085,4,Federal Crop Insurance Act Initiatives
2016,12,   ,4085,801,Reimbursable program - indemnities
2016,12,   ,4085,802,Reimbursable program -  program related  IT
2016,12,   ,600,1,Conservation
2016,12,12,600,1,Conservation
2016,12,   ,600,2,Income support
2016,12,12,600,2,Income support
2016,12,   ,600,5,Commodity operations
2016,12,12,600,5,Commodity operations
2016,12,   ,600,6,Agricultural Sector Support
2016,12,12,600,6,Agricultural Sector Support
2016,12,   ,600,801,Farm loans
2016,12,12,600,801,Farm loans
2016,12,   ,600,802,Other programs
2016,12,12,600,802,Other programs
2016,12,   ,600,803,Other Credit Programs
2016,12,12,600,803,Other Credit Programs
2016,12,   ,170,1,State mediation grants
2016,12,   ,2701,1,Geographically disadvantaged farmers and ranchers program
2016,12,   ,3305,1,Reforestation pilot program
2016,12,   ,3316,1,Emergency conservation program
2016,12,   ,171,1,EFRP
2016,12,   ,3304,1,Grassroots source water payments
2016,12,   ,1140,10,Administrative expenses - PLCE
2016,12,   ,1140,11,Dairy Indemnity
2016,12,   ,1140,12,Individual Development Account Grants
2016,12,   ,1140,701,Direct loan subsidy
2016,12,   ,1140,702,Loan guarantee subsidy
2016,12,   ,1140,705,Reestimates of direct loan subsidy
2016,12,   ,1140,706,Interest on reestimates of direct loan subsidy
2016,12,   ,1140,707,Reestimates of loan guarantee subsidy
2016,12,   ,1140,708,Interest on reestimates of loan guarantee subsidy
2016,12,   ,1140,709,Administrative expenses
2016,12,   ,3314,10,Administrative expenses - PLCE
2016,12,   ,3314,11,Dairy Indemnity
2016,12,   ,3314,12,Individual Development Account Grants
2016,12,   ,3314,701,Direct loan subsidy
2016,12,   ,3314,702,Loan guarantee subsidy
2016,12,   ,3314,705,Reestimates of direct loan subsidy
2016,12,   ,3314,706,Interest on reestimates of direct loan subsidy
2016,12,   ,3314,707,Reestimates of loan guarantee subsidy
2016,12,   ,3314,708,Interest on reestimates of loan guarantee subsidy
2016,12,   ,3314,709,Administrative expenses
2016,12,   ,4212,3,Capitalized costs
2016,12,   ,4212,5,Civil rights settlements
2016,12,   ,4212,710,Direct loan obligations
2016,12,   ,4212,713,Payment of interest to Treasury
2016,12,   ,4212,740,Negative subsidy obligations
2016,12,   ,4212,742,Downward reestimate paid to receipt account
2016,12,   ,4212,743,Interest on downward reestimates
2016,12,   ,4284,3,Capitalized costs
2016,12,   ,4284,5,Civil rights settlements
2016,12,   ,4284,710,Direct loan obligations
2016,12,   ,4284,713,Payment of interest to Treasury
2016,12,   ,4284,740,Negative subsidy obligations
2016,12,   ,4284,742,Downward reestimate paid to receipt account
2016,12,   ,4284,743,Interest on downward reestimates
2016,12,   ,4213,3,Purchase of guaranteed loans
2016,12,   ,4213,4,Interest assistance
2016,12,   ,4213,711,Default claim payments on principal
2016,12,   ,4213,713,Payment of interest to Treasury
2016,12,   ,4213,740,Negative subsidy obligations
2016,12,   ,4213,742,Downward reestimate paid to receipt account
2016,12,   ,4213,743,Interest on downward reestimates
2016,12,   ,4140,8,Loan recoverable costs
2016,12,   ,4140,109,Costs incidental to acquisition of real property
2016,12,   ,4140,118,Civil rights settlements
2016,12,   ,3315,1,Price Loss Coverage
2016,12,   ,3315,2,Agriculture Risk Coverage
2016,12,   ,3315,3,Cotton Transition Assistance Program
2016,12,   ,3315,4,Marketing Loans
2016,12,   ,3315,5,Direct and Countercyclical Payments
2016,12,   ,3315,8,Economic Adjustment Assistance for Upland Cotton
2016,12,   ,3315,9,Livestock Indemnity Program
2016,12,   ,3315,10,Livestock Forage Program
2016,12,   ,3315,11,ELAP
2016,12,   ,3315,12,Tree Assistance Program
2016,12,   ,3315,13,Biomass Crop Assistance Program
2016,12,   ,3315,14,Commodity Purchases and Related Inventory Transactions
2016,12,   ,3315,15,"Storage, Transportation and Other"
2016,12,   ,3315,16,Market Access Program
2016,12,   ,3315,18,Technical Assistance for Specialty Crops
2016,12,   ,3315,19,Emerging Markets Program
2016,12,   ,3315,21,Foreign Market Development Program
2016,12,   ,3315,22,Quality Samples Program
2016,12,   ,3315,23,Non-Insured assistance program
2016,12,   ,3315,24,Bio-based Fuel Production
2016,12,   ,3315,26,Conservation Reserve Program Financial Assistance
2016,12,   ,3315,27,Conservation Reserve Program Technical Assistance
2016,12,   ,3315,28,Emergency Forestry Conservation Reserve Program
2016,12,   ,3315,29,Treasury Interest
2016,12,   ,3315,30,Other Interest
2016,12,   ,3315,31,Reimbursable Agreements with State and Federal Agencies
2016,12,   ,3315,32,Food for Progress
2016,12,   ,3315,33,Foundation for Food and Agriculture
2016,12,   ,3315,34,Section 4 Contracts
2016,12,   ,3315,35,Bill Emerson Humanitarian Trust
2016,12,   ,3315,801,Tobacco Payments
2016,12,   ,3315,802,Commodities procured - PL480 Titles II / III Commodity costs
2016,12,   ,3315,803,Marketing Loans
2016,12,   ,3319,1,Price Loss Coverage
2016,12,   ,3319,2,Agriculture Risk Coverage
2016,12,   ,3319,3,Cotton Transition Assistance Program
2016,12,   ,3319,4,Marketing Loans
2016,12,   ,3319,5,Direct and Countercyclical Payments
2016,12,   ,3319,8,Economic Adjustment Assistance for Upland Cotton
2016,12,   ,3319,9,Livestock Indemnity Program
2016,12,   ,3319,10,Livestock Forage Program
2016,12,   ,3319,11,ELAP
2016,12,   ,3319,12,Tree Assistance Program
2016,12,   ,3319,13,Biomass Crop Assistance Program
2016,12,   ,3319,14,Commodity Purchases and Related Inventory Transactions
2016,12,   ,3319,15,"Storage, Transportation and Other"
2016,12,   ,3319,16,Market Access Program
2016,12,   ,3319,18,Technical Assistance for Specialty Crops
2016,12,   ,3319,19,Emerging Markets Program
2016,12,   ,3319,21,Foreign Market Development Program
2016,12,   ,3319,22,Quality Samples Program
2016,12,   ,3319,23,Non-Insured assistance program
2016,12,   ,3319,24,Bio-based Fuel Production
2016,12,   ,3319,26,Conservation Reserve Program Financial Assistance
2016,12,   ,3319,27,Conservation Reserve Program Technical Assistance
2016,12,   ,3319,28,Emergency Forestry Conservation Reserve Program
2016,12,   ,3319,29,Treasury Interest
2016,12,   ,3319,30,Other Interest
2016,12,   ,3319,31,Reimbursable Agreements with State and Federal Agencies
2016,12,   ,3319,32,Food for Progress
2016,12,   ,3319,33,Foundation for Food and Agriculture
2016,12,   ,3319,34,Section 4 Contracts
2016,12,   ,3319,35,Bill Emerson Humanitarian Trust
2016,12,   ,3319,801,Tobacco Payments
2016,12,   ,3319,802,Commodities procured - PL480 Titles II / III Commodity costs
2016,12,   ,3319,803,Marketing Loans
2016,12,   ,3674,1,Price Loss Coverage
2016,12,   ,3674,2,Agriculture Risk Coverage
2016,12,   ,3674,3,Cotton Transition Assistance Program
2016,12,   ,3674,4,Marketing Loans
2016,12,   ,3674,5,Direct and Countercyclical Payments
2016,12,   ,3674,8,Economic Adjustment Assistance for Upland Cotton
2016,12,   ,3674,9,Livestock Indemnity Program
2016,12,   ,3674,10,Livestock Forage Program
2016,12,   ,3674,11,ELAP
2016,12,   ,3674,12,Tree Assistance Program
2016,12,   ,3674,13,Biomass Crop Assistance Program
2016,12,   ,3674,14,Commodity Purchases and Related Inventory Transactions
2016,12,   ,3674,15,"Storage, Transportation and Other"
2016,12,   ,3674,16,Market Access Program
2016,12,   ,3674,18,Technical Assistance for Specialty Crops
2016,12,   ,3674,19,Emerging Markets Program
2016,12,   ,3674,21,Foreign Market Development Program
2016,12,   ,3674,22,Quality Samples Program
2016,12,   ,3674,23,Non-Insured assistance program
2016,12,   ,3674,24,Bio-based Fuel Production
2016,12,   ,3674,26,Conservation Reserve Program Financial Assistance
2016,12,   ,3674,27,Conservation Reserve Program Technical Assistance
2016,12,   ,3674,28,Emergency Forestry Conservation Reserve Program
