CGAC AGENCY CODE,FPDS DEPARTMENT ID,FREC,AGENCY NAME,AGENCY ABBREVIATION,REGISTERED IN BROKER,REGISTERED IN ASP,ORIGINAL SOURCE FOR CGAC or SubTier,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,FREC DESCRIPTION,REGISTERED IN ASP,AGENCY NAME (ORIGINAL),SUBTIER NAME (ORIGINAL),MISSION,WEBSITE,ICON FILENAME,COMMENT
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
009,0945,,Legislative Branch Boards and Commissions,LEG ORGS,NO,NO,Historical USAspending data,0900,Legislative Branch Boards and Commissions,,,,,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
010,1028,1000,The Judicial Branch,JUD BRANCH,NO,NO,OMB File,1028,Federal Judicial Center,FJC,The Judiciary,,FEDERAL JUDICIAL CENTER,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
011,1153,1133,Executive Office of the President,EOP,YES,NO,OMB File,1153,United States Trade and Development Agency,USTDA,U.S. Trade and Development Agency,YES,UNITED STATES TRADE AND DEVELOPMENT AGENCY,,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
012,1200,1200,Department of Agriculture,USDA,YES,YES,OMB File,9999,Federal Crop Insurance Corporation,FCIC,Department of Agriculture,,"AGRICULTURE, DEPARTMENT OF",,,,,
