Master Broker List (Ross's List),,,,,,Matched Information Present in Broker Generated Agency Name and Code List,,
CGAC.AGENCY.CODE,SUBTIER.CODE,AGENCY.NAME,ORIGINAL.SOURCE.FOR.CGAC.or.SubTier,SUBTIER.NAME,listsource.x,awarding_agency_name,awarding_sub_tier_agency_n,listsource.y
11,1151,Executive Office of the President,OMB File,"Office of the Director, IDCA",CompiledList,NA,NA,NA
11,1152,Executive Office of the President,Historical USAspending data,Agency for International Development,CompiledList,NA,NA,NA
11,1153,Executive Office of the President,OMB File,United States Trade and Development Agency,CompiledList,Executive Office of the President,1153: UNITED STATES TRADE AND DEVELOPMENT AGENCY,BrokerGenerated
11,1153,Executive Office of the President,OMB File,United States Trade and Development Agency,CompiledList,Executive Office of the President,UNITED STATES TRADE AND DEVELOPMENT AGENCY,BrokerGenerated
11,1160,Executive Office of the President,OMB File,Office of the Vice President of the United States,CompiledList,NA,NA,NA
11,1162,Executive Office of the President,OMB File,Development Coordination Committee,CompiledList,NA,NA,NA
11,1165,Executive Office of the President,OMB File,White House Commission on Presidential Scholars,CompiledList,NA,NA,NA
11,1170,Executive Office of the President,OMB File,Commission on the Intelligence Capabilities of the U.S. Regarding Weapons of Mass Destruction,CompiledList,NA,NA,NA
11,11CA,Executive Office of the President,OMB File,West African Rice Development Association,CompiledList,NA,NA,NA
11,11DA,Executive Office of the President,OMB File,International Development Association,CompiledList,NA,NA,NA
11,11DB,Executive Office of the President,OMB File,African Development Fund,CompiledList,NA,NA,NA
11,11DE,Executive Office of the President,OMB File,Asian Development Bank,CompiledList,NA,NA,NA
11,11DF,Executive Office of the President,OMB File,International Finance Corporation,CompiledList,NA,NA,NA
11,11DG,Executive Office of the President,OMB File,International Fund for Agricultural Development,CompiledList,NA,NA,NA
11,11DH,Executive Office of the President,OMB File,Inter-American Development Bank,CompiledList,NA,NA,NA
11,11DK,Executive Office of the President,NIST (2008),European Bank for Reconstruction and Development ,CompiledList,NA,NA,NA
11,11DM,Executive Office of the President,OMB File,International Monetary Fund,CompiledList,NA,NA,NA
11,11DN,Executive Office of the President,NIST (2008),North American Development Bank,CompiledList,NA,NA,NA
11,11DR,Executive Office of the President,OMB File,International Bank for Reconstruction and Development,CompiledList,NA,NA,NA
11,11DT,Executive Office of the President,NIST (2008),Inter-American Defense Board,CompiledList,NA,NA,NA
11,11DW,Executive Office of the President,NIST (2008),Multilateral Investment Guarantee Agency ,CompiledList,NA,NA,NA
11,11EA,Executive Office of the President,OMB File,Consultative Group on International Agricultural Research,CompiledList,NA,NA,NA
11,11RF,Executive Office of the President,OMB File,Multinational Force and Observers,CompiledList,NA,NA,NA
11,11TE,Executive Office of the President,OMB File,Convention on International Trade In Endangered Species of Wild Fauna and Flora,CompiledList,NA,NA,NA
12,1200,Department of Agriculture,OMB File,Department of Agriculture,CompiledList,Department of Agriculture,"1200: AGRICULTURE, DEPARTMENT OF",BrokerGenerated
12,1200,Department of Agriculture,OMB File,Department of Agriculture,CompiledList,Department of Agriculture (USDA),"AGRICULTURE, DEPARTMENT OF",BrokerGenerated
12,1201,Department of Agriculture,OMB File,Immediate Office of the Secretary of Agriculture,CompiledList,Department of Agriculture (USDA),IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE,BrokerGenerated
12,1201,Department of Agriculture,OMB File,Immediate Office of the Secretary of Agriculture,CompiledList,Department of Agriculture,1201: IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE,BrokerGenerated
12,1202,Department of Agriculture,Historical USAspending data,Office of Executive Secretariat,CompiledList,NA,NA,NA
12,1203,Department of Agriculture,OMB File,Office of General Counsel,CompiledList,Department of Agriculture,"1203: USDA, OFFICE OF GENERAL COUNSEL",BrokerGenerated
12,1203,Department of Agriculture,OMB File,Office of General Counsel,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF GENERAL COUNSEL",BrokerGenerated
12,1204,Department of Agriculture,OMB File,Office of the Inspector General,CompiledList,Department of Agriculture (USDA),OFFICE OF INSPECTOR GENERAL,BrokerGenerated
12,1204,Department of Agriculture,OMB File,Office of the Inspector General,CompiledList,Department of Agriculture,1204: OFFICE OF INSPECTOR GENERAL,BrokerGenerated
12,1204,Department of Agriculture,OMB File,Office of the Inspector General,CompiledList,Department of Agriculture,OFFICE OF INSPECTOR GENERAL,BrokerGenerated
12,1205,Department of Agriculture,OMB File,Office of the Chief Financial Officer,CompiledList,Department of Agriculture,"1205: USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",BrokerGenerated
12,1205,Department of Agriculture,OMB File,Office of the Chief Financial Officer,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",BrokerGenerated
12,1205,Department of Agriculture,OMB File,Office of the Chief Financial Officer,CompiledList,Department of Agriculture,"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER",BrokerGenerated
12,1207,Department of Agriculture,OMB File,Office of Governmental and Public Affairs,CompiledList,NA,NA,NA
12,1208,Department of Agriculture,OMB File,Office of Communication,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF COMMUNICATION",BrokerGenerated
12,1208,Department of Agriculture,OMB File,Office of Communication,CompiledList,Department of Agriculture,"1208: USDA, OFFICE OF COMMUNICATION",BrokerGenerated
12,120A,Department of Agriculture,OMB File,Administration,CompiledList,Department of Agriculture,120A: USDA ADMINISTRATION,BrokerGenerated
12,1215,Department of Agriculture,OMB File,Office of Operations,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF OPERATIONS",BrokerGenerated
12,1215,Department of Agriculture,OMB File,Office of Operations,CompiledList,Department of Agriculture,"1215: USDA, OFFICE OF OPERATIONS",BrokerGenerated
12,1217,Department of Agriculture,OMB File,Office of Finance and Management,CompiledList,Department of Agriculture,1217: OFFICE OF FINANCE AND MANAGEMENT,BrokerGenerated
12,1220,Department of Agriculture,OMB File,Agricultural Stabilization and Conservation Service,CompiledList,NA,NA,NA
12,1222,Department of Agriculture,OMB File,Federal Crop Insurance Corporation,CompiledList,NA,NA,NA
12,1223,Department of Agriculture,OMB File,Foreign Agricultural Service,CompiledList,NA,NA,NA
12,1224,Department of Agriculture,OMB File,Office of International Cooperation and Development,CompiledList,NA,NA,NA
12,1226,Department of Agriculture,Historical USAspending data,Forest Service,CompiledList,NA,NA,NA
12,1227,Department of Agriculture,OMB File,Soil Conservation Service,CompiledList,NA,NA,NA
12,122E,Department of Agriculture,OMB File,Economics,CompiledList,NA,NA,NA
12,122S,Department of Agriculture,OMB File,Science and Education,CompiledList,NA,NA,NA
12,1230,Department of Agriculture,OMB File,Agricultural Research Service,CompiledList,NA,NA,NA
12,1232,Department of Agriculture,OMB File,Extension,CompiledList,NA,NA,NA
12,1236,Department of Agriculture,OMB File,Farmers Home Administration,CompiledList,NA,NA,NA
12,1237,Department of Agriculture,OMB File,Rural Electrification Administration,CompiledList,NA,NA,NA
12,1241,Department of Agriculture,OMB File,Agricultural Marketing Service,CompiledList,NA,NA,NA
12,1242,Department of Agriculture,OMB File,Animal and Plant Health Inspection Service,CompiledList,NA,NA,NA
12,1251,Department of Agriculture,OMB File,Food and Nutrition Service,CompiledList,NA,NA,NA
12,1252,Department of Agriculture,Historical USAspending data,Food Safety and Inspection Service,CompiledList,NA,NA,NA
12,1259,Department of Agriculture,OMB File,Economics Management Staff,CompiledList,NA,NA,NA
12,1260,Department of Agriculture,OMB File,Commodity Credit Corporation,CompiledList,NA,NA,NA
12,1261,Department of Agriculture,NIST (2008),Rural Telephone Bank,CompiledList,NA,NA,NA
12,1263,Department of Agriculture,OMB File,Federal Crop Insurance Corporation,CompiledList,NA,NA,NA
12,1291,Department of Agriculture,NIST (2008),Land Grant Colleges and Tuskegee Institute ,CompiledList,NA,NA,NA
12,12A0,Department of Agriculture,OMB File,Office of Executive Operations,CompiledList,NA,NA,NA
12,12A2,Department of Agriculture,OMB File,Office of Executive Secretariat,CompiledList,Department of Agriculture,"12A2: USDA, OFFICE OF EXECUTIVE SECRETARIAT",BrokerGenerated
12,12A2,Department of Agriculture,OMB File,Office of Executive Secretariat,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF EXECUTIVE SECRETARIAT",BrokerGenerated
12,12A4,Department of Agriculture,OMB File,Office of Homeland Security and Emergency Coordination,CompiledList,Department of Agriculture,"12A4: USDA, OFFICE OF HOMELAND SECURITY AND EMERGENCY COORDINATION",BrokerGenerated
12,12A4,Department of Agriculture,OMB File,Office of Homeland Security and Emergency Coordination,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF HOMELAND SECURITY AND EMERGENCY COORDINATION",BrokerGenerated
12,12A5,Department of Agriculture,OMB File,Office of the Chief Economist,CompiledList,Department of Agriculture,"12A5: USDA, OFFICE OF THE CHIEF ECONOMIST",BrokerGenerated
12,12A5,Department of Agriculture,OMB File,Office of the Chief Economist,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF THE CHIEF ECONOMIST",BrokerGenerated
12,12A6,Department of Agriculture,OMB File,Office of Budget and Program Analysis,CompiledList,Department of Agriculture,"12A6: USDA, OFFICE OF BUDGET AND PROGRAM ANALYSIS",BrokerGenerated
12,12A6,Department of Agriculture,OMB File,Office of Budget and Program Analysis,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF BUDGET AND PROGRAM ANALYSIS",BrokerGenerated
12,12A7,Department of Agriculture,OMB File,Office of the Chief Information Officer,CompiledList,Department of Agriculture,"12A7: USDA, OFFICE OF THE CHIEF INFORMATION OFFICER",BrokerGenerated
12,12A7,Department of Agriculture,OMB File,Office of the Chief Information Officer,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF THE CHIEF INFORMATION OFFICER",BrokerGenerated
12,12A8,Department of Agriculture,OMB File,Office of Small and Disadvantaged Business Utilization,CompiledList,NA,NA,NA
12,12A9,Department of Agriculture,OMB File,National Appeals Division,CompiledList,Department of Agriculture (USDA),"USDA, NATIONAL APPEALS DIVISION",BrokerGenerated
12,12A9,Department of Agriculture,OMB File,National Appeals Division,CompiledList,Department of Agriculture,"12A9: USDA, NATIONAL APPEALS DIVISION",BrokerGenerated
12,12B0,Department of Agriculture,OMB File,Assistant Secretary for Departmental Management,CompiledList,Department of Agriculture,"12B0: USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT",BrokerGenerated
12,12B0,Department of Agriculture,OMB File,Assistant Secretary for Departmental Management,CompiledList,Department of Agriculture (USDA),"USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT",BrokerGenerated
12,12B1,Department of Agriculture,OMB File,Office of Security Services,CompiledList,NA,NA,NA
12,12B2,Department of Agriculture,OMB File,Office of Assistant Secretary of Civil Rights,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF ASSISTANT SECRETARY OF CIVIL RIGHTS",BrokerGenerated
12,12B2,Department of Agriculture,OMB File,Office of Assistant Secretary of Civil Rights,CompiledList,Department of Agriculture,"12B2: USDA, OFFICE OF ASSISTANT SECRETARY OF CIVIL RIGHTS",BrokerGenerated
12,12B3,Department of Agriculture,OMB File,Office of Procurement and Property Management,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT",BrokerGenerated
12,12B3,Department of Agriculture,OMB File,Office of Procurement and Property Management,CompiledList,Department of Agriculture,"12B3: USDA, OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT",BrokerGenerated
12,12B4,Department of Agriculture,OMB File,Office of Operations,CompiledList,NA,NA,NA
12,12B5,Department of Agriculture,OMB File,Office of Human Resource Management,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF HUMAN RESOURCE MANAGEMENT",BrokerGenerated
12,12B5,Department of Agriculture,OMB File,Office of Human Resource Management,CompiledList,Department of Agriculture,"12B5: USDA, OFFICE OF HUMAN RESOURCE MANAGEMENT",BrokerGenerated
12,12B6,Department of Agriculture,OMB File,Office of Administrative Law Judge,CompiledList,NA,NA,NA
12,12B7,Department of Agriculture,OMB File,Office of the Judicial Officer,CompiledList,NA,NA,NA
12,12B8,Department of Agriculture,OMB File,Board of Contract Appeals,CompiledList,Department of Agriculture,"12B8: USDA, BOARD OF CONTRACT APPEALS",BrokerGenerated
12,12B9,Department of Agriculture,OMB File,"Policy, Analysis, and Coordination Center",CompiledList,NA,NA,NA
12,12BA,Department of Agriculture,OMB File,Management Support Staff,CompiledList,NA,NA,NA
12,12BB,Department of Agriculture,OMB File,Correspondence Management,CompiledList,NA,NA,NA
12,12BC,Department of Agriculture,OMB File,Office of Advocacy and Outreach,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF ADVOCACY AND OUTREACH",BrokerGenerated
12,12BC,Department of Agriculture,OMB File,Office of Advocacy and Outreach,CompiledList,Department of Agriculture,"12BC: USDA, OFFICE OF ADVOCACY AND OUTREACH",BrokerGenerated
12,12BD,Department of Agriculture,OMB File,Office of Ethics,CompiledList,Department of Agriculture (USDA),"USDA, OFFICE OF ETHICS",BrokerGenerated
12,12BE,Department of Agriculture,OMB File,Management Services,CompiledList,NA,NA,NA
12,12C0,Department of Agriculture,OMB File,Under Secretary for Natural Resources and Environment,CompiledList,NA,NA,NA
12,12C2,Department of Agriculture,OMB File,Forest Service,CompiledList,Department of Agriculture (USDA),Forest Service,BrokerGenerated
12,12C2,Department of Agriculture,OMB File,Forest Service,CompiledList,Department of Agriculture,12C2: FOREST SERVICE,BrokerGenerated
12,12C2,Department of Agriculture,OMB File,Forest Service,CompiledList,"AGRICULTURE, DEPARTMENT OF (1200)",Forest Service,BrokerGenerated
12,12C2,Department of Agriculture,OMB File,Forest Service,CompiledList,Department of Agriculture,FOREST SERVICE,BrokerGenerated
12,12C3,Department of Agriculture,OMB File,Natural Resources Conservation Service,CompiledList,Department of Agriculture,NATURAL RESOURCES CONSERVATION SERVICE,BrokerGenerated
12,12C3,Department of Agriculture,OMB File,Natural Resources Conservation Service,CompiledList,Department of Agriculture,12C3: NATURAL RESOURCES CONSERVATION SERVICE,BrokerGenerated
12,12C3,Department of Agriculture,OMB File,Natural Resources Conservation Service,CompiledList,Department of Agriculture (USDA),Natural Resources Conservation Service,BrokerGenerated
12,12CN,Department of Agriculture,NIST (2008),International Institute for Cotton,CompiledList,NA,NA,NA
12,12CR,Department of Agriculture,OMB File,Office of Civil Rights,CompiledList,NA,NA,NA
12,12D0,Department of Agriculture,OMB File,Under Secretary for Farm and Foreign Agricultural Services,CompiledList,NA,NA,NA
12,12D2,Department of Agriculture,OMB File,Farm Service Agency,CompiledList,Department of Agriculture,FARM SERVICE AGENCY,BrokerGenerated
12,12D2,Department of Agriculture,OMB File,Farm Service Agency,CompiledList,Department of Agriculture (USDA),Farm Service Agency,BrokerGenerated
12,12D2,Department of Agriculture,OMB File,Farm Service Agency,CompiledList,Department of Agriculture,12D2: FARM SERVICE AGENCY,BrokerGenerated
12,12D2,Department of Agriculture,OMB File,Farm Service Agency,CompiledList,Department of Agriculture,Farm Service Agency (FA),BrokerGenerated
12,12D3,Department of Agriculture,OMB File,Foreign Agricultural Service,CompiledList,Department of Agriculture (USDA),Foreign Agricultural Service,BrokerGenerated
12,12D3,Department of Agriculture,OMB File,Foreign Agricultural Service,CompiledList,Department of Agriculture,12D3: FOREIGN AGRICULTURAL SERVICE,BrokerGenerated
12,12D4,Department of Agriculture,OMB File,Risk Management Agency,CompiledList,Department of Agriculture (USDA),Risk Management Agency,BrokerGenerated
12,12D4,Department of Agriculture,OMB File,Risk Management Agency,CompiledList,Department of Agriculture,12D4: RISK MANAGEMENT AGENCY,BrokerGenerated
12,1.20E+01,Department of Agriculture,OMB File,Under Secretary for Rural Development,CompiledList,NA,NA,NA
12,1.20E+03,Department of Agriculture,OMB File,Rural Utilities Service,CompiledList,NA,NA,NA
12,1.20E+04,Department of Agriculture,OMB File,Rural Housing Service,CompiledList,NA,NA,NA
12,1.20E+05,Department of Agriculture,OMB File,Rural Business Cooperative Service,CompiledList,NA,NA,NA
12,1.20E+06,Department of Agriculture,OMB File,Alternative Agricultural Research and Commercialization Center,CompiledList,NA,NA,NA
12,1.20E+07,Department of Agriculture,OMB File,National Sheep Industry Improvement Center,CompiledList,NA,NA,NA
12,12F0,Department of Agriculture,OMB File,"Under Secretary for Food, Nutrition, and Consumer Services",CompiledList,NA,NA,NA
12,12F2,Department of Agriculture,OMB File,Food and Nutrition Service,CompiledList,"AGRICULTURE, DEPARTMENT OF (1200)",Food and Nutrition Service,BrokerGenerated
12,12F2,Department of Agriculture,OMB File,Food and Nutrition Service,CompiledList,Department of Agriculture (USDA),Food and Nutrition Service,BrokerGenerated
12,12F2,Department of Agriculture,OMB File,Food and Nutrition Service,CompiledList,Department of Agriculture,FOOD AND NUTRITION SERVICE,BrokerGenerated
12,12F2,Department of Agriculture,OMB File,Food and Nutrition Service,CompiledList,Department of Agriculture,12F2: FOOD AND NUTRITION SERVICE,BrokerGenerated
12,12F3,Department of Agriculture,OMB File,Center for Nutrition Policy and Promotion,CompiledList,NA,NA,NA
12,12G0,Department of Agriculture,OMB File,Under Secretary for Food Safety,CompiledList,NA,NA,NA
12,12G2,Department of Agriculture,OMB File,Food Safety and Inspection Service,CompiledList,Department of Agriculture,12G2: FOOD SAFETY AND INSPECTION SERVICE,BrokerGenerated
12,12G2,Department of Agriculture,OMB File,Food Safety and Inspection Service,CompiledList,Department of Agriculture (USDA),FOOD SAFETY AND INSPECTION SERVICE,BrokerGenerated
12,12G2,Department of Agriculture,OMB File,Food Safety and Inspection Service,CompiledList,Department of Agriculture,FOOD SAFETY AND INSPECTION SERVICE,BrokerGenerated
12,12H0,Department of Agriculture,OMB File,"Under Secretary for Research, Education, and Economics",CompiledList,NA,NA,NA
12,12H2,Department of Agriculture,OMB File,Agricultural Research Service,CompiledList,Department of Agriculture,AGRICULTURAL RESEARCH SERVICE,BrokerGenerated
12,12H2,Department of Agriculture,OMB File,Agricultural Research Service,CompiledList,Department of Agriculture,12H2: AGRICULTURAL RESEARCH SERVICE,BrokerGenerated
12,12H2,Department of Agriculture,OMB File,Agricultural Research Service,CompiledList,Department of Agriculture (USDA),Agricultural Research Service,BrokerGenerated
12,12H3,Department of Agriculture,OMB File,National Institute of Food and Agriculture,CompiledList,Department of Agriculture,12H3: NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,BrokerGenerated
12,12H3,Department of Agriculture,OMB File,National Institute of Food and Agriculture,CompiledList,Department of Agriculture (USDA),National Institute of Food and Agriculture,BrokerGenerated
12,12H4,Department of Agriculture,OMB File,Economic Research Service,CompiledList,Department of Agriculture,12H4: ECONOMIC RESEARCH SERVICE,BrokerGenerated
12,12H4,Department of Agriculture,OMB File,Economic Research Service,CompiledList,Department of Agriculture (USDA),Economic Research Service,BrokerGenerated
12,12H5,Department of Agriculture,OMB File,National Agricultural Statistics Service,CompiledList,Department of Agriculture,12H5: NATIONAL AGRICULTURAL STATISTICS SERVICE,BrokerGenerated
12,12H5,Department of Agriculture,OMB File,National Agricultural Statistics Service,CompiledList,Department of Agriculture (USDA),National Agricultural Statistics Service,BrokerGenerated
12,12J0,Department of Agriculture,OMB File,Assistant Secretary for Congressional Relations,CompiledList,NA,NA,NA
12,12J2,Department of Agriculture,OMB File,Office of Congressional Relations,CompiledList,NA,NA,NA
12,12K0,Department of Agriculture,OMB File,Assistant Secretary for Marketing and Regulatory Programs,CompiledList,NA,NA,NA
12,12K2,Department of Agriculture,OMB File,Agricultural Marketing Service,CompiledList,Department of Agriculture,AGRICULTURAL MARKETING SERVICE,BrokerGenerated
