CGAC AGENCY CODE,FPDS DEPARTMENT ID,AGENCY NAME,SUB TIER CODE,SUB TIER NAME
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1150,INTL DEVELOPMENT COOPERATION AGENCY (EXCLUDES OPIC)
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1151,"OFFICE OF THE DIRECTOR, IDCA"
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1160,OFFICE OF THE VICE PRESIDENT OF THE UNITED STATES
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1162,DEVELOPMENT COORDINATION COMMITTEE
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1165,WHITE HOUSE COMMISSION ON PRESIDENTIAL SCHOLARS
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,1170,COMMISSION ON THE INTELLIGENCE CAPABILITIES OF THE U.S REGARDING WEAPONS OF MASS DESTRUCTION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11CA,WEST AFRICAN RICE DEVELOPMENT ASSOCIATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DA,INTERNATIONAL DEVELOPMENT ASSOCIATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DB,AFRICAN DEVELOPMENT FUND
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DE,ASIAN DEVELOPMENT BANK
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DF,INTERNATIONAL FINANCE CORPORATION
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DG,INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DH,INTER-AMERICAN DEVELOPMENT BANK
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DM,INTERNATIONAL MONETARY FUND
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11DR,INTERNATL BANK FOR RECONSTRUCTION & DEV (WORLD BANK)
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11EA,CONSULTATIVE GROUP ON INTERNATIONAL AGRICULTURAL RESEARCH
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11RF,MULTINATIONAL FORCE AND OBSERVERS
011,1100,EXECUTIVE OFFICE OF THE PRESIDENT,11TE,CONVNTN ON INTERNATL TRD IN ENDANGERED SPECIES OF WILD FAUN
011,1145,PEACE CORPS,1145,PEACE CORPS
011,1153,UNITED STATES TRADE AND DEVELOPMENT AGENCY,1153,UNITED STATES TRADE AND DEVELOPMENT AGENCY
012,1200,"AGRICULTURE, DEPARTMENT OF",1200,"AGRICULTURE, DEPARTMENT OF"
012,1200,"AGRICULTURE, DEPARTMENT OF",1201,IMMEDIATE OFFICE OF THE SECRETARY OF AGRICULTURE
012,1200,"AGRICULTURE, DEPARTMENT OF",1203,"USDA, OFFICE OF GENERAL COUNSEL"
012,1200,"AGRICULTURE, DEPARTMENT OF",1204,OFFICE OF INSPECTOR GENERAL
012,1200,"AGRICULTURE, DEPARTMENT OF",1205,"USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER"
012,1200,"AGRICULTURE, DEPARTMENT OF",1207,OFFICE OF GOVERNMENTAL AND PUBLIC AFFAIRS
012,1200,"AGRICULTURE, DEPARTMENT OF",1208,"USDA, OFFICE OF COMMUNICATION"
012,1200,"AGRICULTURE, DEPARTMENT OF",120A,USDA ADMINISTRATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1215,"USDA, OFFICE OF OPERATIONS"
012,1200,"AGRICULTURE, DEPARTMENT OF",1217,OFFICE OF FINANCE AND MANAGEMENT
012,1200,"AGRICULTURE, DEPARTMENT OF",1220,AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1222,FEDERAL CROP INSURANCE CORPORATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1223,FOREIGN AGRICULTURAL SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1224,OFFICE OF INTERNATIONAL COOPERATION AND DEVELOPMENT
012,1200,"AGRICULTURE, DEPARTMENT OF",1227,SOIL CONSERVATION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",122E,ECONOMICS
012,1200,"AGRICULTURE, DEPARTMENT OF",122S,SCIENCE AND EDUCATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1230,AGRICULTURAL RESEARCH SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1232,EXTENSION
012,1200,"AGRICULTURE, DEPARTMENT OF",1236,FARMERS HOME ADMINISTRATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1237,RURAL ELECTRIFICATION ADMINISTRATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1241,AGRICULTURAL MARKETING SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1242,ANIMAL AND PLANT HEALTH INSPECTION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1251,FOOD AND NUTRITION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",1259,ECONOMICS MANAGEMENT STAFF
012,1200,"AGRICULTURE, DEPARTMENT OF",1260,COMMODITY CREDIT CORPORATION
012,1200,"AGRICULTURE, DEPARTMENT OF",1263,FEDERAL CROP INSURANCE CORPORATION
012,1200,"AGRICULTURE, DEPARTMENT OF",12A0,OFFICE OF EXECUTIVE OPERATIONS
012,1200,"AGRICULTURE, DEPARTMENT OF",12A2,"USDA, OFFICE OF EXECUTIVE SECRETARIAT"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A4,"USDA, OFFICE OF HOMELAND SECURITY AND EMERGENCY COORDINATION"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A5,"USDA, OFFICE OF THE CHIEF ECONOMIST"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A6,"USDA, OFFICE OF BUDGET AND PROGRAM ANALYSIS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A7,"USDA, OFFICE OF THE CHIEF INFORMATION OFFICER"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A8,"USDA, OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION"
012,1200,"AGRICULTURE, DEPARTMENT OF",12A9,"USDA, NATIONAL APPEALS DIVISION"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B0,"USDA, ASSISTANT SECRETARY FOR DEPARTMENTAL MANAGEMENT"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B1,"USDA, OFFICE OF SECURITY SERVICES"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B2,"USDA, OFFICE OF ASSISTANT SECRETARY OF CIVIL RIGHTS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B3,"USDA, OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B4,OFFICE OF OPERATIONS
012,1200,"AGRICULTURE, DEPARTMENT OF",12B5,"USDA, OFFICE OF HUMAN RESOURCE MANAGEMENT"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B6,"USDA, OFFICE OF ADMINISTRATIVE LAW JUDGE"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B7,"USDA, OFFICE OF THE JUDICIAL OFFICER"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B8,"USDA, BOARD OF CONTRACT APPEALS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12B9,"POLICY, ANALYSIS, AND COORDINATION CENTER"
012,1200,"AGRICULTURE, DEPARTMENT OF",12BA,MANAGEMENT SUPPORT STAFF
012,1200,"AGRICULTURE, DEPARTMENT OF",12BB,"USDA, CORRESPONDENCE MANAGEMENT"
012,1200,"AGRICULTURE, DEPARTMENT OF",12BC,"USDA, OFFICE OF ADVOCACY AND OUTREACH"
012,1200,"AGRICULTURE, DEPARTMENT OF",12BD,"USDA, OFFICE OF ETHICS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12BE,"USDA, MANAGEMENT SERVICES"
012,1200,"AGRICULTURE, DEPARTMENT OF",12C0,UNDER SECRETARY FOR NATURAL RESOURCES AND ENVIRONMENT
012,1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12C3,NATURAL RESOURCES CONSERVATION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12CR,OFFICE OF CIVIL RIGHTS
012,1200,"AGRICULTURE, DEPARTMENT OF",12D0,UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES
012,1200,"AGRICULTURE, DEPARTMENT OF",12D2,FARM SERVICE AGENCY
012,1200,"AGRICULTURE, DEPARTMENT OF",12D3,FOREIGN AGRICULTURAL SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12D4,RISK MANAGEMENT AGENCY
012,1200,"AGRICULTURE, DEPARTMENT OF",12E0,UNDER SECRETARY FOR RURAL DEVELOPMENT
012,1200,"AGRICULTURE, DEPARTMENT OF",12E2,RURAL UTILITIES SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12E3,RURAL HOUSING SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12E4,RURAL BUSINESS COOPERATIVE SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12E5,ALTERNATIVE AGRICULTURAL RESEARCH AND COMMERCIALIZATION CENTER
012,1200,"AGRICULTURE, DEPARTMENT OF",12E6,NATIONAL SHEEP INDUSTRY IMPROVEMENT CENTER
012,1200,"AGRICULTURE, DEPARTMENT OF",12F0,"UNDER SECRETARY FOR FOOD, NUTRITION, AND CONSUMER SERVICES"
012,1200,"AGRICULTURE, DEPARTMENT OF",12F2,FOOD AND NUTRITION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12F3,CENTER FOR NUTRITION POLICY AND PROMOTION
012,1200,"AGRICULTURE, DEPARTMENT OF",12G0,UNDER SECRETARY FOR FOOD SAFETY
012,1200,"AGRICULTURE, DEPARTMENT OF",12G2,FOOD SAFETY AND INSPECTION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12H0,"UNDER SECRETARY FOR RESEARCH, EDUCATION, AND ECONOMICS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12H2,AGRICULTURAL RESEARCH SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12H3,NATIONAL INSTITUTE OF FOOD AND AGRICULTURE
012,1200,"AGRICULTURE, DEPARTMENT OF",12H4,ECONOMIC RESEARCH SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12H5,NATIONAL AGRICULTURAL STATISTICS SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12J0,ASSISTANT SECRETARY FOR CONGRESSIONAL RELATIONS
012,1200,"AGRICULTURE, DEPARTMENT OF",12J2,"USDA, OFFICE OF CONGRESSIONAL RELATIONS"
012,1200,"AGRICULTURE, DEPARTMENT OF",12K0,ASSISTANT SECRETARY FOR MARKETING AND REGULATORY PROGRAMS
012,1200,"AGRICULTURE, DEPARTMENT OF",12K2,AGRICULTURAL MARKETING SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12K3,ANIMAL AND PLANT HEALTH INSPECTION SERVICE
012,1200,"AGRICULTURE, DEPARTMENT OF",12K4,"GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION"
012,1200,"AGRICULTURE, DEPARTMENT OF",7777,FEDERAL CROP INSURANCE CORPORATION
012,1200,"AGRICULTURE, DEPARTMENT OF",9999,FEDERAL CROP INSURANCE CORPORATION
013,1300,"COMMERCE, DEPARTMENT OF",1300,"COMMERCE, DEPARTMENT OF"
013,1300,"COMMERCE, DEPARTMENT OF",1301,OFFICE OF THE SECRETARY
013,1300,"COMMERCE, DEPARTMENT OF",1303,OFFICE OF THE GENERAL COUNSEL
013,1300,"COMMERCE, DEPARTMENT OF",1304,OFFICE OF THE INSPECTOR GENERAL
013,1300,"COMMERCE, DEPARTMENT OF",1306,OFFICE OF THE CHIEF FINANCIAL OFFICER & ASSISTANT SECRETARY FOR ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1314,ECONOMICS AND STATISTICS ADMINISTRATION/UNDER SECRETARY FOR ECONOMIC AFFAIRS
013,1300,"COMMERCE, DEPARTMENT OF",1315,CHIEF ECONOMIST
013,1300,"COMMERCE, DEPARTMENT OF",131E,ECONOMIC AFFAIRS
013,1300,"COMMERCE, DEPARTMENT OF",1321,BUREAU OF ECONOMIC ANALYSIS
013,1300,"COMMERCE, DEPARTMENT OF",1323,US CENSUS BUREAU
013,1300,"COMMERCE, DEPARTMENT OF",1325,ECONOMIC DEVELOPMENT ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1330,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1335,NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1341,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY
013,1300,"COMMERCE, DEPARTMENT OF",1342,NATIONAL TECHNICAL INFORMATION SERVICE
013,1300,"COMMERCE, DEPARTMENT OF",1343,ASSISTANT SECRETARY FOR TECHNOLOGY POLICY
013,1300,"COMMERCE, DEPARTMENT OF",1344,US PATENT AND TRADEMARK OFFICE
013,1300,"COMMERCE, DEPARTMENT OF",1350,INTERNATIONAL TRADE ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1351,U.S. EXPORT ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1352,MINORITY BUSINESS DEVELOPMENT AGENCY
013,1300,"COMMERCE, DEPARTMENT OF",1355,U.S. TRAVEL AND TOURISM ADMINISTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1359,TECHNOLOGY ADMINSTRATION
013,1300,"COMMERCE, DEPARTMENT OF",1363,COMMITTEE FOR THE IMPLEMENTATION OF TEXTILE AGREEMENTS
013,1300,"COMMERCE, DEPARTMENT OF",1364,BUREAU OF INDUSTRY AND SECURITY
013,1300,"COMMERCE, DEPARTMENT OF",1365,EXPORT ADMINISTRATION REVIEW BOARD
014,1400,"INTERIOR, DEPARTMENT OF THE",1400,"INTERIOR, DEPARTMENT OF THE"
014,1400,"INTERIOR, DEPARTMENT OF THE",1401,CENTRAL UTAH PROJECT COMPLETION ACT OFFICE
014,1400,"INTERIOR, DEPARTMENT OF THE",1402,OFFICE OF THE UNDER SECRETARY OF THE INTERIOR
014,1400,"INTERIOR, DEPARTMENT OF THE",1403,OFFICE OF THE SOLICITOR
014,1400,"INTERIOR, DEPARTMENT OF THE",1404,OFFICE OF THE INSPECTOR GENERAL
014,1400,"INTERIOR, DEPARTMENT OF THE",1406,DEPARTMENTAL OFFICES
014,1400,"INTERIOR, DEPARTMENT OF THE",1407,OFFICE OF CONGRESSIONAL AND LEGISLATIVE AFFAIRS
014,1400,"INTERIOR, DEPARTMENT OF THE",1408,OFFICE OF PUBLIC AFFAIRS
014,1400,"INTERIOR, DEPARTMENT OF THE",1409,INSULAR AFFAIRS
014,1400,"INTERIOR, DEPARTMENT OF THE",140S,OFFICE OF THE SECRETARY OF THE INTERIOR
014,1400,"INTERIOR, DEPARTMENT OF THE",1410,OFFICE OF YOUTH PROGRAMS
014,1400,"INTERIOR, DEPARTMENT OF THE",1411,OFFICE FOR EQUAL OPPORTUNITY
014,1400,"INTERIOR, DEPARTMENT OF THE",1413,OFFICE OF HEARINGS AND APPEALS
014,1400,"INTERIOR, DEPARTMENT OF THE",1414,EXECUTIVE SECRETARIAT
014,1400,"INTERIOR, DEPARTMENT OF THE",1415,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS
014,1400,"INTERIOR, DEPARTMENT OF THE",1416,INDIAN ARTS AND CRAFTS BOARD
014,1400,"INTERIOR, DEPARTMENT OF THE",1417,OFFICE OF HISOTRICALLY BLACK COLLEGE AND UNIVERSITY PROGRAMS
014,1400,"INTERIOR, DEPARTMENT OF THE",1418,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION
014,1400,"INTERIOR, DEPARTMENT OF THE",1422,BUREAU OF LAND MANAGEMENT
014,1400,"INTERIOR, DEPARTMENT OF THE",1425,BUREAU OF RECLAMATION
014,1400,"INTERIOR, DEPARTMENT OF THE",142L,LAND AND MINERALS MANAGEMENT (ASSISTANT SECRETARY)
014,1400,"INTERIOR, DEPARTMENT OF THE",142N,INDIAN AFFAIRS
014,1400,"INTERIOR, DEPARTMENT OF THE",142W,WATER AND SCIENCE (ASSISTANT SECRETARY)
014,1400,"INTERIOR, DEPARTMENT OF THE",1434,US GEOLOGICAL SURVEY
014,1400,"INTERIOR, DEPARTMENT OF THE",1435,BUREAU OF OCEAN ENERGY MANAGEMENT
014,1400,"INTERIOR, DEPARTMENT OF THE",1436,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT
014,1400,"INTERIOR, DEPARTMENT OF THE",1438,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT"
014,1400,"INTERIOR, DEPARTMENT OF THE",1443,NATIONAL PARK SERVICE
014,1400,"INTERIOR, DEPARTMENT OF THE",1445,NATIONAL BIOLOGICAL SURVEY
014,1400,"INTERIOR, DEPARTMENT OF THE",1448,U.S. FISH AND WILDLIFE SERVICE
014,1400,"INTERIOR, DEPARTMENT OF THE",1450,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
014,1400,"INTERIOR, DEPARTMENT OF THE",1460,BOARD ON GEOGRAPHIC NAMES
014,1400,"INTERIOR, DEPARTMENT OF THE",1461,MIGRATORY BIRD CONSERVATION COMMISSION
014,1400,"INTERIOR, DEPARTMENT OF THE",1462,NORTHERN MARIANA ISLANDS COMMISSION OF FEDERAL LAWS
014,1400,"INTERIOR, DEPARTMENT OF THE",1464,IL AND MI CANAL NATIONAL HERITAGE CORRIDOR COMMISSION
014,1400,"INTERIOR, DEPARTMENT OF THE",1465,METROPOLITAN RIVER CORRIDORS STUDY COMMITTEE
014,1400,"INTERIOR, DEPARTMENT OF THE",1466,ENDANGERED SPECIES COMMITTEE
014,1400,"INTERIOR, DEPARTMENT OF THE",1467,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION
014,1400,"INTERIOR, DEPARTMENT OF THE",1468,INDIAN ARTS AND CRAFTS BOARD
014,1400,"INTERIOR, DEPARTMENT OF THE",1469,NATIONAL INDIAN GAMING COMMISSION
015,1500,"JUSTICE, DEPARTMENT OF",1500,"JUSTICE, DEPARTMENT OF"
015,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS"
015,1500,"JUSTICE, DEPARTMENT OF",1504,OFFICE OF THE INSPECTOR GENERAL
015,1500,"JUSTICE, DEPARTMENT OF",1524,DRUG ENFORCEMENT ADMINISTRATION
015,1500,"JUSTICE, DEPARTMENT OF",1526,EXEC OFF FOR U.S. ATTORNEYS AND THE OFFICES OF U.S. ATTORNEYS
015,1500,"JUSTICE, DEPARTMENT OF",1530,EXECUTIVE OFFICE FOR IMMIGRATION REVIEW
015,1500,"JUSTICE, DEPARTMENT OF",1535,COMMUNITY RELATIONS SERVICE
015,1500,"JUSTICE, DEPARTMENT OF",1540,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
015,1500,"JUSTICE, DEPARTMENT OF",1544,U.S. MARSHALS SERVICE
015,1500,"JUSTICE, DEPARTMENT OF",1549,FEDERAL BUREAU OF INVESTIGATION
015,1500,"JUSTICE, DEPARTMENT OF",1550,OFFICE OF JUSTICE PROGRAMS
015,1500,"JUSTICE, DEPARTMENT OF",1555,U.S. TRUSTEE SYSTEM
015,1500,"JUSTICE, DEPARTMENT OF",1560,ATF ACQUISITION AND PROPERTY MGMT DIV
016,1600,"LABOR, DEPARTMENT OF",1600,"LABOR, DEPARTMENT OF"
016,1600,"LABOR, DEPARTMENT OF",1601,IMMEDIATE OFFICE OF THE SECRETARY OF LABOR
016,1600,"LABOR, DEPARTMENT OF",1603,OFFICE OF THE SOLICITOR
016,1600,"LABOR, DEPARTMENT OF",1604,OFFICE OF INSPECTOR GENERAL
016,1600,"LABOR, DEPARTMENT OF",1605,OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT
016,1600,"LABOR, DEPARTMENT OF",1606,OFFICE OF THE ASSISTANT SECRETARY FOR POLICY
016,1600,"LABOR, DEPARTMENT OF",1607,OFF OF THE DEPUTY UNDER SECRETARY FOR CONGRESSIONAL AFFAIRS
016,1600,"LABOR, DEPARTMENT OF",1608,OFFICE OF INFORMATION AND PUBLIC AFFAIRS
016,1600,"LABOR, DEPARTMENT OF",1609,BUREAU OF INTERNATIONAL LABOR AFFAIRS
016,1600,"LABOR, DEPARTMENT OF",160S,OFFICE OF THE SECRETARY OF LABOR
016,1600,"LABOR, DEPARTMENT OF",160U,OFFICE OF THE UNDER SECRETARY OF LABOR
016,1600,"LABOR, DEPARTMENT OF",1610,WAGE APPEALS BOARD
016,1600,"LABOR, DEPARTMENT OF",1613,OFFICE OF ADMINISTRATIVE LAW JUDGES
016,1600,"LABOR, DEPARTMENT OF",1614,"OFF OF THE DEPUTY UNDER SEC FOR PUB AND INTERGOV""TL AFFAIRS"
016,1600,"LABOR, DEPARTMENT OF",1615,BENEFITS REVIEW BOARD
016,1600,"LABOR, DEPARTMENT OF",1616,EMPLOYEES COMPENSATION APPEALS BOARD
016,1600,"LABOR, DEPARTMENT OF",1617,ADMINISTRATIVE REVIEW BOARD
016,1600,"LABOR, DEPARTMENT OF",1618,OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION
016,1600,"LABOR, DEPARTMENT OF",1619,EXECUTIVE SECRETARIAT
016,1600,"LABOR, DEPARTMENT OF",1620,OFFICE OF 21ST CENTURY WORKFORCE
016,1600,"LABOR, DEPARTMENT OF",1621,EMPLOYEE BENEFITS SECURITY ADMINISTRATION
016,1600,"LABOR, DEPARTMENT OF",1622,OFFICE OF CHIEF FINANCIAL OFFICER
