ACCT_NUM,ATA,AID,BPOA,EPOA,A,MAIN,SUB,GWA_TAS,GWA_TAS NAME,Agency AID,Agency Name,ADMIN_ORG,Admin Org Name,FR Entity Type Code,FR Entity Description,Financial Indicator Type 2,FIN IND Type 2 Description,Function Code,Function Description,Sub Function Code,Sub Function Description
53022, ,000,2012,2012, ,0107,000,00120107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56002, ,000,2013,2013, ,0107,000,00130107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59601, ,000,2014,2014, ,0107,000,00140107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62698, ,000,2015,2015, ,0107,000,00150107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65988, ,000,2016,2016, ,0107,000,00160107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69808, ,000,2017,2017, ,0107,000,00170107,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45738, ,000,2011,2011, ,0108,000,00110108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53023, ,000,2012,2012, ,0108,000,00120108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56003, ,000,2013,2013, ,0108,000,00130108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59602, ,000,2014,2014, ,0108,000,00140108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62699, ,000,2015,2015, ,0108,000,00150108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65989, ,000,2016,2016, ,0108,000,00160108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69809, ,000,2017,2017, ,0108,000,00170108,"Representation Allowances for the Majority and Minority Leaders, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
9, ,000, , ,X,0110,000,00X0110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
35952, ,000,2008,2012, ,0110,000,0008/120110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
38231, ,000,2009,2013, ,0110,000,0009/130110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
42149, ,000,2010,2014, ,0110,000,0010/140110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45739, ,000,2011,2011, ,0110,000,00110110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45760, ,000,2011,2015, ,0110,000,0011/150110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53024, ,000,2012,2012, ,0110,000,00120110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56004, ,000,2013,2013, ,0110,000,00130110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
58998, ,000,2013,2017, ,0110,000,0013/170110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59603, ,000,2014,2014, ,0110,000,00140110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
67438, ,000,2014,2016, ,0110,000,0014/160110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62700, ,000,2015,2015, ,0110,000,00150110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
67439, ,000,2015,2017, ,0110,000,0015/170110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65990, ,000,2016,2016, ,0110,000,00160110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
70738, ,000,2016,2018, ,0110,000,0016/180110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69810, ,000,2017,2017, ,0110,000,00170110,"Salaries, Officers and Employees, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
10, ,000, , ,X,0115,000,00X0115,"Payment to Widows and Heirs of Deceased Members of Congress, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
11, ,000, , ,X,0118,000,00X0118,"Contingent Expenses, Folding Documents, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
12, ,000, , ,X,0123,000,00X0123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45740, ,000,2011,2011, ,0123,000,00110123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53025, ,000,2012,2012, ,0123,000,00120123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
54539, ,000,2012,2014, ,0123,000,0012/140123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56005, ,000,2013,2013, ,0123,000,00130123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56024, ,000,2013,2015, ,0123,000,0013/150123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59604, ,000,2014,2014, ,0123,000,00140123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59623, ,000,2014,2016, ,0123,000,0014/160123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62701, ,000,2015,2015, ,0123,000,00150123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62718, ,000,2015,2017, ,0123,000,0015/170123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65991, ,000,2016,2016, ,0123,000,00160123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
66004, ,000,2016,2018, ,0123,000,0016/180123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69811, ,000,2017,2017, ,0123,000,00170123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69824, ,000,2017,2019, ,0123,000,0017/190123,"Contingent Expenses, Miscellaneous Items, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
13, ,000, , ,X,0126,000,00X0126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
34965, ,000,2007,2011, ,0126,000,0007/110126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45741, ,000,2011,2011, ,0126,000,00110126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
50532, ,000,2011,2015, ,0126,000,0011/150126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53026, ,000,2012,2012, ,0126,000,00120126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53037, ,000,2012,2016, ,0126,000,0012/160126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56006, ,000,2013,2013, ,0126,000,00130126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56028, ,000,2013,2017, ,0126,000,0013/170126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59605, ,000,2014,2014, ,0126,000,00140126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
61479, ,000,2014,2017, ,0126,000,0014/170126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59628, ,000,2014,2018, ,0126,000,0014/180126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62702, ,000,2015,2015, ,0126,000,00150126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62722, ,000,2015,2019, ,0126,000,0015/190126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65992, ,000,2016,2016, ,0126,000,00160126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
66012, ,000,2016,2020, ,0126,000,0016/200126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69812, ,000,2017,2017, ,0126,000,00170126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69827, ,000,2017,2021, ,0126,000,0017/210126,"Contingent Expenses, Secretary of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
14, ,000, , ,X,0127,000,00X0127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
34162, ,000,2007,2011, ,0127,000,0007/110127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
35324, ,000,2008,2012, ,0127,000,0008/120127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
38232, ,000,2009,2013, ,0127,000,0009/130127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
42133, ,000,2010,2014, ,0127,000,0010/140127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45742, ,000,2011,2011, ,0127,000,00110127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45761, ,000,2011,2015, ,0127,000,0011/150127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53027, ,000,2012,2012, ,0127,000,00120127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53038, ,000,2012,2016, ,0127,000,0012/160127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56007, ,000,2013,2013, ,0127,000,00130127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate                                                                                                                                                                      ",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56029, ,000,2013,2017, ,0127,000,0013/170127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59606, ,000,2014,2014, ,0127,000,00140127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59629, ,000,2014,2018, ,0127,000,0014/180127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62703, ,000,2015,2015, ,0127,000,00150127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62723, ,000,2015,2019, ,0127,000,0015/190127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65993, ,000,2016,2016, ,0127,000,00160127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
66013, ,000,2016,2020, ,0127,000,0016/200127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69813, ,000,2017,2017, ,0127,000,00170127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69828, ,000,2017,2021, ,0127,000,0017/210127,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
15, ,000, , ,X,0128,000,00X0128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45743, ,000,2011,2011, ,0128,000,00110128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53028, ,000,2012,2012, ,0128,000,00120128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
54540, ,000,2012,2014, ,0128,000,0012/140128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56008, ,000,2013,2013, ,0128,000,00130128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56025, ,000,2013,2015, ,0128,000,0013/150128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59607, ,000,2014,2014, ,0128,000,00140128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
61318, ,000,2014,2015, ,0128,000,0014/150128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59624, ,000,2014,2016, ,0128,000,0014/160128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62704, ,000,2015,2015, ,0128,000,00150128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62719, ,000,2015,2017, ,0128,000,0015/170128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65994, ,000,2016,2016, ,0128,000,00160128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
66005, ,000,2016,2018, ,0128,000,0016/180128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69814, ,000,2017,2017, ,0128,000,00170128,"Contingent Expenses of the Senate, Inquiries and Investigations, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69825, ,000,2017,2019, ,0128,000,0017/190128,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45744, ,000,2011,2011, ,0129,000,00110129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53029, ,000,2012,2012, ,0129,000,00120129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56009, ,000,2013,2013, ,0129,000,00130129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59608, ,000,2014,2014, ,0129,000,00140129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62705, ,000,2015,2015, ,0129,000,00150129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65995, ,000,2016,2016, ,0129,000,00160129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69815, ,000,2017,2017, ,0129,000,00170129,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
16, ,000, , ,X,0130,000,00X0130,"Contingent Expenses, Senator's Official Personnel and Office    Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45745, ,000,2011,2011, ,0130,000,00110130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53030, ,000,2012,2012, ,0130,000,00120130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
54541, ,000,2012,2014, ,0130,000,0012/140130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56010, ,000,2013,2013, ,0130,000,00130130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56026, ,000,2013,2015, ,0130,000,0013/150130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59609, ,000,2014,2014, ,0130,000,00140130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59625, ,000,2014,2016, ,0130,000,0014/160130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62706, ,000,2015,2015, ,0130,000,00150130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62720, ,000,2015,2017, ,0130,000,0015/170130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65996, ,000,2016,2016, ,0130,000,00160130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
66006, ,000,2016,2018, ,0130,000,0016/180130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69816, ,000,2017,2017, ,0130,000,00170130,"Contingent Expenses, Senator's Official Personnel and Office Expense Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69826, ,000,2017,2019, ,0130,000,0017/190130,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
17, ,000, , ,X,0132,000,00X0132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
45746, ,000,2011,2011, ,0132,000,00110132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
53031, ,000,2012,2012, ,0132,000,00120132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
56011, ,000,2013,2013, ,0132,000,00130132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
59610, ,000,2014,2014, ,0132,000,00140132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
62707, ,000,2015,2015, ,0132,000,00150132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
65997, ,000,2016,2016, ,0132,000,00160132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
69817, ,000,2017,2017, ,0132,000,00170132,"Official Mail Costs, Senate",000,Congress,01,Clerk of the Senate,0000,Non - Reporting, , ,800,General Government,801,Legislative functions
