2017 NAICS Code,2017 NAICS Title,
336212,Truck Trailer Manufacturing ,
336213,Motor Home Manufacturing ,
336214,Travel Trailer and Camper Manufacturing ,
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,
336340,Motor Vehicle Brake System Manufacturing,
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,
336360,Motor Vehicle Seating and Interior Trim Manufacturing,
336370,Motor Vehicle Metal Stamping,
336390,Other Motor Vehicle Parts Manufacturing,
336411,Aircraft Manufacturing ,
336412,Aircraft Engine and Engine Parts Manufacturing ,
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing ,
336414,Guided Missile and Space Vehicle Manufacturing ,
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing ,
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing ,
336510,Railroad Rolling Stock Manufacturing,
336611,Ship Building and Repairing ,
336612,Boat Building ,
336991,"Motorcycle, Bicycle, and Parts Manufacturing ",
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing ",
336999,All Other Transportation Equipment Manufacturing ,
337110,Wood Kitchen Cabinet and Countertop Manufacturing,
337121,Upholstered Household Furniture Manufacturing ,
337122,Nonupholstered Wood Household Furniture Manufacturing ,
337124,Metal Household Furniture Manufacturing ,
337125,Household Furniture (except Wood and Metal) Manufacturing ,
337127,Institutional Furniture Manufacturing ,
337211,Wood Office Furniture Manufacturing ,
337212,Custom Architectural Woodwork and Millwork Manufacturing ,
337214,Office Furniture (except Wood) Manufacturing ,
337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",
337910,Mattress Manufacturing,
337920,Blind and Shade Manufacturing,
339112,Surgical and Medical Instrument Manufacturing ,
339113,Surgical Appliance and Supplies Manufacturing ,
339114,Dental Equipment and Supplies Manufacturing ,
339115,Ophthalmic Goods Manufacturing ,
339116,Dental Laboratories ,
339910,Jewelry and Silverware Manufacturing ,
339920,Sporting and Athletic Goods Manufacturing,
339930,"Doll, Toy, and Game Manufacturing",
339940,Office Supplies (except Paper) Manufacturing,
339950,Sign Manufacturing,
339991,"Gasket, Packing, and Sealing Device Manufacturing ",
339992,Musical Instrument Manufacturing ,
339993,"Fastener, Button, Needle, and Pin Manufacturing ",
339994,"Broom, Brush, and Mop Manufacturing ",
339995,Burial Casket Manufacturing ,
339999,All Other Miscellaneous Manufacturing ,
423110,Automobile and Other Motor Vehicle Merchant Wholesalers ,
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers ,
423130,Tire and Tube Merchant Wholesalers ,
423140,Motor Vehicle Parts (Used) Merchant Wholesalers ,
423210,Furniture Merchant Wholesalers ,
423220,Home Furnishing Merchant Wholesalers ,
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers ",
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers ",
423390,Other Construction Material Merchant Wholesalers ,
423410,Photographic Equipment and Supplies Merchant Wholesalers ,
423420,Office Equipment Merchant Wholesalers ,
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers ,
423440,Other Commercial Equipment Merchant Wholesalers ,
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",
423460,Ophthalmic Goods Merchant Wholesalers ,
423490,Other Professional Equipment and Supplies Merchant Wholesalers ,
423510,Metal Service Centers and Other Metal Merchant Wholesalers ,
423520,Coal and Other Mineral and Ore Merchant Wholesalers ,
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers ",
423690,Other Electronic Parts and Equipment Merchant Wholesalers ,
423710,Hardware Merchant Wholesalers ,
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers ,
423740,Refrigeration Equipment and Supplies Merchant Wholesalers ,
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers ,
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers ,
423830,Industrial Machinery and Equipment Merchant Wholesalers ,
423840,Industrial Supplies Merchant Wholesalers,
423850,Service Establishment Equipment and Supplies Merchant Wholesalers ,
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers ,
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers ,
423930,Recyclable Material Merchant Wholesalers ,
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers ",
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,
424110,Printing and Writing Paper Merchant Wholesalers ,
424120,Stationery and Office Supplies Merchant Wholesalers ,
424130,Industrial and Personal Service Paper Merchant Wholesalers ,
424210,Drugs and Druggists' Sundries Merchant Wholesalers ,
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers ",
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers ,
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers ",
424340,Footwear Merchant Wholesalers ,
424410,General Line Grocery Merchant Wholesalers ,
424420,Packaged Frozen Food Merchant Wholesalers ,
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers ,
424440,Poultry and Poultry Product Merchant Wholesalers ,
424450,Confectionery Merchant Wholesalers ,
424460,Fish and Seafood Merchant Wholesalers ,
424470,Meat and Meat Product Merchant Wholesalers ,
424480,Fresh Fruit and Vegetable Merchant Wholesalers ,
424490,Other Grocery and Related Products Merchant Wholesalers ,
424510,Grain and Field Bean Merchant Wholesalers ,
424520,Livestock Merchant Wholesalers ,
424590,Other Farm Product Raw Material Merchant Wholesalers ,
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers ,
424690,Other Chemical and Allied Products Merchant Wholesalers ,
424710,Petroleum Bulk Stations and Terminals ,
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) ,
424810,Beer and Ale Merchant Wholesalers ,
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers ,
424910,Farm Supplies Merchant Wholesalers ,
424920,"Book, Periodical, and Newspaper Merchant Wholesalers ",
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers ",
424940,Tobacco and Tobacco Product Merchant Wholesalers ,
424950,"Paint, Varnish, and Supplies Merchant Wholesalers ",
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers ,
425110,Business to Business Electronic Markets ,
425120,Wholesale Trade Agents and Brokers ,
441110,New Car Dealers ,
441120,Used Car Dealers ,
441210,Recreational Vehicle Dealers ,
441222,Boat Dealers ,
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",
441310,Automotive Parts and Accessories Stores ,
441320,Tire Dealers ,
442110,Furniture Stores ,
442210,Floor Covering Stores ,
442291,Window Treatment Stores ,
442299,All Other Home Furnishings Stores ,
443141,Household Appliance Stores ,
443142,Electronics Stores ,
444110,Home Centers ,
444120,Paint and Wallpaper Stores ,
444130,Hardware Stores ,
444190,Other Building Material Dealers ,
444210,Outdoor Power Equipment Stores ,
444220,"Nursery, Garden Center, and Farm Supply Stores ",
445110,Supermarkets and Other Grocery (except Convenience) Stores ,
445120,Convenience Stores ,
445210,Meat Markets ,
445220,Fish and Seafood Markets ,
445230,Fruit and Vegetable Markets ,
445291,Baked Goods Stores ,
445292,Confectionery and Nut Stores ,
445299,All Other Specialty Food Stores ,
445310,"Beer, Wine, and Liquor Stores ",
446110,Pharmacies and Drug Stores ,
446120,"Cosmetics, Beauty Supplies, and Perfume Stores ",
446130,Optical Goods Stores ,
446191,Food (Health) Supplement Stores ,
446199,All Other Health and Personal Care Stores ,
447110,Gasoline Stations with Convenience Stores ,
447190,Other Gasoline Stations ,
448110,Men's Clothing Stores ,
448120,Women's Clothing Stores ,
448130,Children's and Infants' Clothing Stores ,
448140,Family Clothing Stores ,
448150,Clothing Accessories Stores ,
448190,Other Clothing Stores ,
448210,Shoe Stores ,
448310,Jewelry Stores ,
448320,Luggage and Leather Goods Stores ,
451110,Sporting Goods Stores ,
451120,"Hobby, Toy, and Game Stores ",
451130,"Sewing, Needlework, and Piece Goods Stores ",
451140,Musical Instrument and Supplies Stores ,
451211,Book Stores ,
451212,News Dealers and Newsstands ,
452210,Department Stores ,
452311,Warehouse Clubs and Supercenters ,
452319,All Other General Merchandise Stores ,
453110,Florists ,
453210,Office Supplies and Stationery Stores ,
453220,"Gift, Novelty, and Souvenir Stores ",
453310,Used Merchandise Stores ,
453910,Pet and Pet Supplies Stores ,
